mount.Name,mount.Area_km2,n_GridsCells,total_richness,local_richness,Species turnover,MAT,MAP,Clim_vol_convex,TopographicComplexity,NPP,average_ADF_vol
Cameroun Mts,221017,288,725,342.6805556,1.115673003,233.536358,1869.27377,5.79947383,405.4283168,0.7578453,3499.3095
Ahaggar,223784,322,39,17.39440994,1.242099625,225.6107624,42.10459,0.1179622,288.1046409,0.01655845,346.4609
Aleutian,56301,144,149,104.4055944,0.427126591,17.1728992,1126.7067,6.81847328,390.0570381,0.2684115,2969.6518
Alps and central European outliers,284319,540,265,159.2740741,0.663798716,71.7197933,1112.95208,4.68447541,679.7092357,0.66139087,5515.4043
Altai Highlands,956815,1917,385,161.2806468,1.387143204,-26.6547424,345.8137,2.44256769,611.6403613,0.28826084,5465.0046
Amurland,396111,790,292,154.8303797,0.885934792,-20.7298769,716.60476,1.10399052,304.718291,0.50468004,4943.2173
Anatolia,265974,438,295,131.630137,1.241128109,104.8402646,657.08303,4.5978408,593.8861109,0.50874126,4074.6968
Western Angola Scarp,113084,150,614,312.8,0.962915601,193.3974048,1190.11591,1.11117146,312.0823696,1.10059026,3564.284
Apeninian Mts,95662,165,212,135.8909091,0.560074926,127.3221165,778.02071,1.65421325,366.6199517,0.72973618,4466.3523
Appalachians,261497,446,232,136.4103139,0.700751163,100.7924823,1114.35622,2.31873843,245.4971527,0.77303019,2569.4621
Arctic archipelago,472844,1738,78,21.86106033,2.567987958,-120.9539219,381.03247,4.9650955,506.8223536,0.03711713,765.2045
Arctic Desert,455545,3435,53,13.89982004,2.812999007,-200.1033881,122.01676,0.49386937,423.5398902,0.02239361,400.1695
Atlas Mts,276151,426,236,101.5633803,1.323672168,165.2811988,295.50498,1.6784889,537.886256,0.18112871,2685.8749
Baja California,91652,137,251,97.24087591,1.581219036,195.056798,219.33167,1.06343714,446.1653166,0.21903817,1542.2254
Balkans,219806,379,277,172.171504,0.608860895,104.3417012,990.9594,4.13031584,459.0558997,0.70278939,5424.4127
Black Hills,10819,19,166,142.3157895,0.166420118,76.0792608,485.24335,0.17829062,372.8626724,0.35959546,3020.6521
Borneo Highlands,239703,312,414,226.3044872,0.829393686,235.6662041,3261.43454,6.72016189,371.4037537,1.28824373,980.7472
Bougainville,4252,4,118,115,0.026086957,235.8135916,3173.0381,2.77279496,448.8728956,0.82277457,538.0445
Brazilian Atlantic Mts,858815,1202,859,375.2371048,1.28921924,206.574275,1344.67118,3.0499082,258.9887069,1.25527734,3750.6369
Brazilian plateau,809383,1092,678,344.8369963,0.966146345,236.814361,1389.37345,1.20284658,179.3557176,0.7797764,4013.3521
C Siberian Highlands,419622,1355,206,82.11365314,1.508718004,-99.0354206,438.73586,0.77065294,255.6035054,0.20259533,3495.3249
Caripe-Paria,12103,18,511,407,0.255528256,243.8984033,1151.71785,1.56538565,448.2913228,1.13457545,4036.1079
Carpathians,166288,315,236,167.5968254,0.408141231,71.3793369,791.94386,1.07161183,370.2955341,0.67526068,5890.5256
Caucasus,211240,365,285,166.5534247,0.711162653,67.3021701,821.28566,5.58228291,847.3500594,0.5914417,5312.2666
Central African Highlands,151265,202,900,471.8316832,0.907459868,193.8697315,1311.05109,3.23615852,417.4930005,1.22540142,4509.9256
Central American Highlands,303955,401,655,321.9376559,1.034555412,222.6568743,1923.68175,7.0665379,597.8349307,1.30083337,2468.5857
Guinea Highlands,19662,28,463,227.8571429,1.031974922,242.53943,1715.84088,1.20441367,216.25427,0.5816654,2882.3472
Chimanimani Mts,19083,29,504,391.3448276,0.287866772,187.489549,1215.60586,1.48926683,360.9537793,1.22301678,4515.0444
Naga Mts,189074,269,755,396.7434944,0.902992766,204.9259715,3028.78855,17.75098466,607.7184015,1.13863387,3228.7617
Corsica-Sardinia,21546,37,152,111.4054054,0.36438622,142.2941087,738.1859,0.71278983,350.9686539,0.9161122,3354.7042
Costa Rica / Panamanian,31996,40,681,462.85,0.471319002,200.0375812,3105.37026,5.20046568,624.3390514,1.13329704,2953.2164
Crete,8261,12,85,75.91666667,0.119648738,161.8279106,694.1017,0.63432036,410.3442198,0.85491281,2280.2985
Cyprus,2111,2,78,76,0.026315789,169.3339132,627.83671,0.32831618,327.2942693,0.57886103,2316.2625
Darfur Highlands,58549,77,286,149.0519481,0.91879411,236.6230859,327.70343,0.71072107,200.929767,0.07438619,2172.7797
Daxing'anling Mts,214954,426,288,143.1056338,1.012499385,-6.1148819,465.75112,0.36145453,221.3424495,0.40719914,4539.0969
Desert Tibet,777933,1237,242,40.41067098,4.988517244,-41.9755761,223.53801,2.05910692,954.1076465,0.06370257,966.7651
E African Highlands,300264,389,929,439.2596401,1.114922281,206.1103662,909.61679,3.63878277,463.4225854,0.9199822,4681.8892
E Sclerophyl Highlands,368492,565,373,209.5964602,0.779610208,148.2228547,872.88221,2.36905273,339.7869979,1.11410918,1484.8543
East Cuba,19935,29,128,102.137931,0.253207292,246.7559766,1166.10512,0.98242113,246.0551156,0.99176678,959.3964
East Siberia Mts,1647358,4939,251,81.11715904,2.094289827,-108.9119983,335.38902,1.36273815,400.3336921,0.16995192,3377.4981
Eastern Central Andes,688830,940,1719,346.9117021,3.955151381,146.10267,1216.27433,17.80138973,1334.254664,0.98111056,2487.338
Coromandel Ghats,77583,102,301,200.1764706,0.50367323,270.9514899,861.84314,2.62252096,314.9842585,0.55153966,2284.0754
Mahanadian Ghats,60279,83,282,212.7349398,0.325593249,255.2922793,1458.38241,0.75891406,339.2022008,0.47954107,2312.0816
Eastern Tibet,432558,660,467,120.2848485,2.882450748,0.1107569,624.04624,1.99361855,492.6290349,0.26548361,1728.9689
Ethiopian Highlands,691493,913,660,244.3001095,1.701595187,201.0105214,1077.88335,4.49779031,594.7931036,0.76390929,2878.4203
Fiji,2430,3,58,55,0.054545455,226.7096882,2498.65439,0.98446123,256.736842,1.45539231,184.7487
Flinders Range,24364,41,223,152.4634146,0.462645977,165.7133329,302.75917,0.1380239,118.9558339,0.25274567,1198.7734
Great Basin,69143,113,182,98.26548673,0.85212536,90.0054329,245.25162,0.38199878,326.6211487,0.14820882,2099.2518
Guadalcanal,5055,5,114,108.2,0.053604436,242.5066201,2667.40463,1.52157385,377.0520966,0.91496412,485.1386
Guinea / Mt. Nimba,14372,20,476,339.9,0.400411886,239.0350583,1918.8753,0.93310538,153.1578531,1.04377436,3250.7324
Hawaii,4245,6,39,21.33333333,0.828125,135.3660418,1401.09874,4.37334473,865.1013646,0.81280045,111.727
